"id" "wellbeing" "age" "origin" "sex" "year"
"1" 1 6 47 1 0 1989
"2" 1 7 48 1 0 1990
"3" 1 5 49 1 0 1991
"4" 1 6 50 1 0 1992
"5" 1 5 51 1 0 1993
"6" 1 6 52 1 0 1994
"7" 1 4 53 1 0 1995
"8" 1 5 54 1 0 1996
"9" 1 6 55 1 0 1997
"10" 1 6 56 1 0 1998
"11" 1 6 57 1 0 1999
"12" 1 7 58 1 0 2000
"13" 1 6 59 1 0 2001
"14" 1 5 60 1 0 2002
"15" 1 6 61 1 0 2003
"16" 2 5 42 1 1 1992
"17" 2 7 43 1 1 1993
"18" 2 6 44 1 1 1994
"19" 2 5 45 1 1 1995
"20" 2 7 46 1 1 1996
"21" 2 5 47 1 1 1997
"22" 2 6 48 1 1 1998
"23" 2 5 49 1 1 1999
"24" 2 7 50 1 1 2000
"25" 3 5 65 1 0 1991
"26" 3 5 66 1 0 1992
"27" 3 6 67 1 0 1993
"28" 3 6 68 1 0 1994
"29" 3 7 69 1 0 1995
"30" 3 7 70 1 0 1996
"31" 3 6 71 1 0 1997
"32" 3 7 72 1 0 1998
"33" 3 5 73 1 0 1999
"34" 3 5 74 1 0 2000
"35" 3 1 75 1 0 2001
"36" 3 2 76 1 0 2002
"37" 3 5 77 1 0 2003
"38" 3 6 78 1 0 2004
"39" 4 7 81 1 1 1991
"40" 4 5 82 1 1 1992
"41" 4 6 83 1 1 1993
"42" 4 6 84 1 1 1994
"43" 4 4 85 1 1 1995
"44" 4 5 86 1 1 1996
"45" 4 5 87 1 1 1997
"46" 4 5 88 1 1 1998
"47" 4 6 89 1 1 1999
"48" 4 5 90 1 1 2000
"49" 5 6 67 1 0 1993
"50" 5 5 68 1 0 1994
"51" 5 6 69 1 0 1995
"52" 5 4 70 1 0 1996
"53" 5 5 71 1 0 1997
"54" 5 6 72 1 0 1998
"55" 5 6 73 1 0 1999
"56" 5 5 74 1 0 2000
"57" 5 5 75 1 0 2001
"58" 5 5 76 1 0 2002
"59" 5 7 77 1 0 2003
"60" 5 5 78 1 0 2004
"61" 5 4 79 1 0 2005
"62" 6 6 23 1 0 1996
"63" 6 5 24 1 0 1997
"64" 6 5 25 1 0 1998
"65" 6 5 26 1 0 1999
"66" 6 5 27 1 0 2000
"67" 7 5 43 1 0 1996
"68" 7 6 44 1 0 1997
"69" 7 5 45 1 0 1998
"70" 7 5 46 1 0 1999
"71" 7 6 47 1 0 2000
"72" 7 6 48 1 0 2001
"73" 7 5 49 1 0 2002
"74" 7 5 50 1 0 2003
"75" 7 4 51 1 0 2004
"76" 7 6 52 1 0 2005
"77" 8 6 18 0 1 1990
"78" 8 6 19 0 1 1991
"79" 8 5 20 0 1 1992
"80" 8 6 21 0 1 1993
"81" 8 7 22 0 1 1994
"82" 8 6 23 0 1 1995
"83" 8 6 24 0 1 1996
"84" 8 7 25 0 1 1997
"85" 8 5 26 0 1 1998
"86" 8 6 27 0 1 1999
"87" 8 6 28 0 1 2000
"88" 8 6 29 0 1 2001
"89" 8 5 30 0 1 2002
"90" 8 6 31 0 1 2003
"91" 9 5 37 1 1 1995
"92" 9 6 38 1 1 1996
"93" 9 6 39 1 1 1997
"94" 9 5 40 1 1 1998
"95" 9 5 41 1 1 1999
"96" 9 6 42 1 1 2000
"97" 9 6 43 1 1 2001
"98" 9 6 44 1 1 2002
"99" 9 6 45 1 1 2003
"100" 9 6 46 1 1 2004
"101" 9 7 47 1 1 2005
"102" 9 5 48 1 1 2006
"103" 10 7 29 1 0 1995
"104" 10 6 30 1 0 1996
"105" 10 6 31 1 0 1997
"106" 10 7 32 1 0 1998
"107" 10 6 33 1 0 1999
"108" 10 5 34 1 0 2000
"109" 10 6 35 1 0 2001
"110" 11 6 40 0 1 1991
"111" 11 6 41 0 1 1992
"112" 11 6 42 0 1 1993
"113" 11 7 43 0 1 1994
"114" 11 5 44 0 1 1995
"115" 11 5 45 0 1 1996
"116" 11 4 46 0 1 1997
"117" 11 7 47 0 1 1998
"118" 11 6 48 0 1 1999
"119" 11 6 49 0 1 2000
"120" 11 6 50 0 1 2001
"121" 11 5 51 0 1 2002
"122" 11 7 52 0 1 2003
"123" 11 6 53 0 1 2004
"124" 11 5 54 0 1 2005
"125" 12 5 36 1 1 1988
"126" 12 7 37 1 1 1989
"127" 12 8 38 1 1 1990
"128" 12 6 39 1 1 1991
"129" 12 7 40 1 1 1992
"130" 12 7 41 1 1 1993
"131" 12 8 42 1 1 1994
"132" 12 6 43 1 1 1995
"133" 12 5 44 1 1 1996
"134" 12 7 45 1 1 1997
"135" 12 7 46 1 1 1998
"136" 12 6 47 1 1 1999
"137" 12 7 48 1 1 2000
"138" 12 6 49 1 1 2001
"139" 13 6 29 1 1 1992
"140" 13 5 30 1 1 1993
"141" 13 4 31 1 1 1994
"142" 13 6 32 1 1 1995
"143" 13 5 33 1 1 1996
"144" 13 7 34 1 1 1997
"145" 13 7 35 1 1 1998
"146" 13 5 36 1 1 1999
"147" 13 5 37 1 1 2000
"148" 13 6 38 1 1 2001
"149" 13 5 39 1 1 2002
"150" 13 6 40 1 1 2003
"151" 13 6 41 1 1 2004
"152" 14 5 59 1 1 1994
"153" 14 6 60 1 1 1995
"154" 14 6 61 1 1 1996
"155" 14 7 62 1 1 1997
"156" 14 7 63 1 1 1998
"157" 14 8 64 1 1 1999
"158" 14 6 65 1 1 2000
"159" 14 7 66 1 1 2001
"160" 14 6 67 1 1 2002
"161" 14 7 68 1 1 2003
"162" 15 6 73 1 1 1996
