source_pdf,output_pdf,title,start_page,end_page,page_count
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\01_Chapter_1_-_Introduction.pdf","Chapter 1 - Introduction",17,40,24
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\02_Chapter_2_-_Binary_Response.pdf","Chapter 2 - Binary Response",41,66,26
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\03_Chapter_3_-_Binomial_and_Proportion_Responses.pdf","Chapter 3 - Binomial and Proportion Responses",67,82,16
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\04_Chapter_4_-_Variations_on_Logistic_Regression.pdf","Chapter 4 - Variations on Logistic Regression",83,98,16
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\05_Chapter_5_-_Count_Regression.pdf","Chapter 5 - Count Regression",99,118,20
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\06_Chapter_6_-_Contingency_Tables.pdf","Chapter 6 - Contingency Tables",119,144,26
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\07_Chapter_7_-_Multinomial_Data.pdf","Chapter 7 - Multinomial Data",145,166,22
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\08_Chapter_8_-_Generalized_Linear_Models.pdf","Chapter 8 - Generalized Linear Models",167,190,24
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\09_Chapter_9_-_Other_GLMs.pdf","Chapter 9 - Other GLMs",191,210,20
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\10_Chapter_10_-_Random_Effects.pdf","Chapter 10 - Random Effects",211,252,42
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\11_Chapter_11_-_Repeated_Measures_and_Longitudinal_Data.pdf","Chapter 11 - Repeated Measures and Longitudinal Data",253,270,18
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\12_Chapter_12_-_Bayesian_Mixed_Effect_Models.pdf","Chapter 12 - Bayesian Mixed Effect Models",271,290,20
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\13_Chapter_13_-_Mixed_Effect_Models_for_Nonnormal_Responses.pdf","Chapter 13 - Mixed Effect Models for Nonnormal Responses",291,312,22
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\14_Chapter_14_-_Nonparametric_Regression.pdf","Chapter 14 - Nonparametric Regression",313,336,24
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\15_Chapter_15_-_Additive_Models.pdf","Chapter 15 - Additive Models",337,358,22
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\16_Chapter_16_-_Trees.pdf","Chapter 16 - Trees",359,380,22
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\17_Chapter_17_-_Neural_Networks.pdf","Chapter 17 - Neural Networks",381,390,10
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\18_Appendix_A_-_Likelihood_Theory.pdf","Appendix A - Likelihood Theory",391,398,8
"Extending The Linear Model With R (Second Edition) (Julian James Faraway).pdf","chapter_pdfs\Extending_The_Linear_Model_With_R_Second_Edition_Julian_James_Faraway\19_Appendix_B_-_About_R.pdf","Appendix B - About R",399,400,2
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\01_Chapter_1_Introduction.pdf","Chapter 1 Introduction",14,24,11
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\02_Chapter_2_Estimation.pdf","Chapter 2 Estimation",25,40,16
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\03_Chapter_3_Inference.pdf","Chapter 3 Inference",41,70,30
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\04_Chapter_4_Diagnostics.pdf","Chapter 4 Diagnostics",71,95,25
