"时刻","停0","停30","停60","停90","停120","停150","停180","停210","停240"
7,1.5,1.9,0.3,NA,NA,NA,NA,NA,NA
8,1.9,3.4,3.9,1.9,1.8,NA,NA,NA,NA
9,2.1,4.3,4,3.4,2.9,1.6,0.2,NA,NA
10,3,5.1,5.9,5.2,6.3,3.9,1.9,1.6,0.8
11,4.8,6.1,7.4,9.2,6.8,6.6,1.8,6,1.9
12,3.7,5.8,7.6,5.1,7.8,4.4,4.3,4.1,0
13,2.9,3.6,4.1,4.5,5.3,4.5,4.1,3.4,0
14,2.4,3.9,6.6,5.9,3.7,5.1,2.1,3.2,0
15,2.4,7.6,7.1,7.1,9.3,4.3,8.1,3.7,3.1
16,3.1,9.1,5.8,13.1,9.9,14.4,8.2,7.5,6.5
17,5.1,11.3,11.2,12.1,11.5,13.2,6.7,2.7,6.2
18,8.3,14.5,11.9,16.7,7.1,15.2,15.4,NA,NA
19,26.6,31.7,36.4,NA,NA,NA,NA,NA,NA
